ORIGIN,DEST,DISTANCE,CRS_ELAPSED_TIME
ATL,BZN,1640.0,255.2888888888889
ATL,CAE,192.0,60.3008073008073
ATL,CAK,528.0,100.0264483627204
ATL,CHA,106.0,49.15257410296412
ATL,CHO,457.0,93.54078826764436
ATL,CHS,259.0,72.17535545023696
ATL,CID,694.0,129.64875491480996
ATL,CLE,554.0,107.55241682360327
ATL,CLT,226.0,75.86169431801497
ATL,CMH,447.0,93.83746208291203
ATL,COS,1184.0,197.1290322580645
ATL,CRW,363.0,82.63024691358025
ATL,CSG,83.0,43.42752442996743
ATL,CVG,373.0,85.06749156355455
ATL,DAB,366.0,78.93779620853081
ATL,DAL,721.0,134.41912189485845
ATL,DAY,432.0,92.23845108695652
ATL,DCA,547.0,106.04333643988817
ATL,DEN,1199.0,204.2332620496792
ATL,DFW,731.0,145.48367375295263
ATL,DHN,170.0,58.325190839694656
ATL,DSM,743.0,136.32729007633588
ATL,DTW,594.0,119.93486127864898
ATL,ECP,240.0,66.08683602771363
ATL,EGE,1312.0,216.72649572649573
ATL,ELM,717.0,111.66666666666667
ATL,ELP,1282.0,202.37350705754614
ATL,EVV,350.0,82.7431640625
ATL,EWN,433.0,85.61804511278196
ATL,EWR,746.0,136.50198721271815
ATL,EYW,646.0,112.19058295964126
ATL,FAR,1123.0,186.61111111111111
ATL,FAY,331.0,78.45238095238095
ATL,FCA,1842.0,269.27272727272725
ATL,FLL,581.0,112.44772507260407
ATL,FNT,645.0,118.82933579335793
ATL,FSD,954.0,164.88050314465409
ATL,FSM,579.0,114.93990755007704
ATL,FWA,508.0,104.39371804236669
ATL,GNV,300.0,73.79492882562278
ATL,GPT,352.0,82.75701574264203
ATL,GRB,774.0,135.11328125
ATL,GRK,803.0,140.70758122743683
ATL,GRR,640.0,116.73298083278254
ATL,GSO,306.0,77.1571189279732
ATL,GSP,153.0,56.1714527027027
ATL,GTR,241.0,68.31442786069651
ATL,HDN,1340.0,222.59130434782608
ATL,HNL,4502.0,597.6953125
ATL,HOU,696.0,133.85913767760903
ATL,HPN,780.0,137.04140587385652
ATL,HSV,151.0,57.1708436286622
ATL,IAD,534.0,107.32326718435432
ATL,IAH,689.0,135.62115962115962
ATL,ICT,782.0,141.58035714285714
ATL,ILM,377.0,82.17576791808874
ATL,IND,432.0,92.17132784958872
ATL,JAC,1572.0,247.1946902654867
ATL,JAN,341.0,80.56247472705216
ATL,JAX,270.0,69.8937173656729
ATL,JFK,760.0,143.62320623206233
ATL,LAS,1747.0,268.8250805152979
ATL,LAX,1946.341052631579,297.46721804511276
ATL,LEX,304.0,74.5437306501548
ATL,LFT,503.0,107.04098994586234
ATL,LGA,762.0,137.17576050217286
ATL,LIT,453.0,96.05480033984706
ATL,LNK,841.0,148.80733944954127
ATL,MCI,692.0,132.2771963981504
ATL,MCO,404.0,89.89197698404082
ATL,MDT,620.0,112.82314814814815
ATL,MDW,591.0,117.01756177251379
ATL,MEM,332.0,82.70195971692978
ATL,MGM,147.0,55.136595744680854
ATL,MHT,952.0,157.84736842105264
ATL,MIA,594.0,117.08606625603463
ATL,MKE,669.0,123.81305879165538
ATL,MLB,442.0,89.9993564993565
ATL,MLI,633.0,116.87555066079295
ATL,MLU,448.0,95.72422258592471
ATL,MOB,302.0,78.45553691275168
ATL,MSN,707.0,128.01392757660167
ATL,MSO,1800.0,262.0
ATL,MSP,907.0,161.4732309996256
ATL,MSY,425.0,93.7515786231326
ATL,MTJ,1352.0,229.47058823529412
ATL,MYR,317.0,75.99052432090967
ATL,OAJ,399.0,83.01834862385321
ATL,OAK,2130.0,312.06235011990407
ATL,OKC,761.0,137.9642708766099
ATL,OMA,821.0,148.35258189894503
ATL,ORD,606.0,127.21329232415084
ATL,ORF,516.0,97.28364921297783
ATL,PBI,545.0,110.71352130067915
ATL,PDX,2172.0,320.2779433681073
ATL,PHF,508.0,101.10326566637247
ATL,PHL,666.0,123.66557048899057
ATL,PHX,1587.0,249.20822281167108
ATL,PIA,565.0,114.45426195426195
ATL,PIT,526.0,101.29178846664895
ATL,PNS,271.0,74.25574272588055
ATL,PVD,903.0,145.355901189387
ATL,PWM,1027.0,161.07638888888889
ATL,RAP,1230.0,194.27272727272728
ATL,RDU,356.0,82.15694345025054
ATL,RIC,481.0,93.56035517158627
ATL,RNO,1993.0,308.0
ATL,ROA,357.0,85.53178847296495
ATL,ROC,749.0,127.1141060197664
ATL,RST,831.0,144.78186968838526
ATL,RSW,515.0,102.03109166282819
ATL,SAN,1892.0,282.56444066354743
ATL,SAT,874.0,156.2960625187857
ATL,SAV,214.0,65.36589229144667
ATL,SBN,566.0,113.98291233283804
ATL,SCE,615.0,113.45454545454545
ATL,SDF,321.0,81.38618925831202
ATL,SEA,2182.0,328.4277845777234
ATL,SFO,2139.0,318.86273923444975
ATL,SGF,563.0,114.42803877703207
ATL,SHV,551.0,111.5377532228361
ATL,SJC,2116.0,311.5762711864407
ATL,SJU,1547.0,213.57408595253366
ATL,SLC,1590.0,250.167325428195
ATL,SMF,2092.0,308.12423312883436
ATL,SNA,1919.0,290.20018281535647
ATL,SRQ,444.0,90.94317673378076
ATL,STL,484.0,102.18783585735223
ATL,STT,1599.0,216.81022880215343
ATL,STX,1638.0,224.04109589041096
ATL,SYR,794.0,132.3987398739874
ATL,TLH,223.0,65.27
ATL,TPA,406.0,86.30903169234624
ATL,TRI,227.0,65.56186807896003
ATL,TTN,701.0,130.1121076233184
ATL,TUL,674.0,126.36217552533992
ATL,TUS,1541.0,240.83169705469845
ATL,TVC,769.0,127.36363636363636
ATL,TYS,152.0,54.46255106672719
ATL,VLD,208.0,63.529126213592235
ATL,VPS,250.0,73.22633253778838
ATL,XNA,589.0,117.19711538461539
ATW,ATL,765.0,136.23529411764707
ATW,DTW,296.0,82.1280409731114
ATW,MSP,236.0,75.00820633059789
ATW,ORD,160.0,65.23934181002244
AUS,ABQ,619.0,107.75862068965517
AUS,ATL,813.0,132.06246299585553
AUS,BNA,756.0,119.23021582733813
